
                  X               _temp_1     

                0.                -0.         
                1.                45.3855     
                1.                45.3855     
                2.                22.8001     
                2.                22.8001     
                3.                40.8874     
                3.                40.8874     
                3.25              42.3419     
                3.4375            40.7702     
                3.625             36.8035     
                3.90625           30.0539     
                4.                28.1131     
                4.                28.1131     
                4.25              23.9018     
                4.5               20.2441     
                4.875             17.4849     
                5.                17.1491     
                5.                17.1491     
                6.                17.6921     
                6.                17.6921     
                7.                19.0531     
                7.                19.0531     
                8.                20.6481     
                8.                20.6481     
                9.                24.2312     
                9.                24.2312     
               10.                27.2766     
               10.                27.2766     
               11.                30.6293     
               11.                30.6293     
               12.                34.1312     
               12.                34.1312     
               13.                37.7791     
               13.                37.7791     
               14.                41.4557     
               14.                41.4557     
               15.                36.1465     
               15.                36.1465     
               16.                28.0564     
               16.                28.0564     
               16.25              26.6473     
               16.5               25.4842     
               16.875             24.0574     
               17.                23.636      
               17.                23.636      
               17.25              22.7959     
               17.4375            22.1124     
               17.625             21.3286     
               17.8125            20.4029     
               17.9531            19.5916     
               18.                19.2971     
               18.                19.2971     
               18.0156            19.196      
               18.0313            19.0934     
               18.0469            18.9892     
               18.0703            18.8302     
               18.1055            18.5853     
               18.1582            18.2032     
               18.2373            17.5943     
               18.267             17.3541     
               18.3115            16.9808     
               18.3782            16.3922     
               18.4032            16.1623     
               18.4408            15.8078     
               18.4971            15.2532     
               18.5182            15.0383     
               18.5499            14.7086     
               18.5974            14.1969     
               18.6152            13.9998     
               18.6419            13.6985     
               18.682             13.2335     
               18.6971            13.0552     
               18.7196            12.7839     
               18.7281            12.6807     
               18.7408            12.5248     
               18.7598            12.2877     
               18.7645            12.2278     
               18.7693            12.1677     
               18.7764            12.0771     
               18.7791            12.043      
               18.7831            11.9916     
               18.7846            11.9723     
               18.7869            11.9432     
               18.7903            11.8995     
               18.7915            11.8831     
               18.7928            11.8666     
               18.7941            11.8502     
               18.7946            11.844      
               18.7953            11.8347     
               18.7963            11.8207     
               18.7966            11.8172     
               18.7968            11.8146     
               18.797             11.8126     
               18.7971            11.8112     
               18.7972            11.8101     
               18.7972            11.8089     
               18.7973            11.8081     
               18.7974            11.8075     
               18.7974            11.8069     
               18.7974            11.8064     
               18.7975            11.8061     
               18.7975            11.8057     
               18.7975            11.8054     
               18.7975            11.8052     
               18.7976            11.805      
               18.7976            11.8048     
               18.7976            11.8046     
               18.7976            11.8045     
               18.7976            11.8043     
               18.7976            11.804      
               18.7976            11.8039     
               18.7976            11.8038     
               18.7977            11.8036     
               18.7977            11.8035     
               18.7977            11.8035     
               18.7977            11.8034     
               18.7977            11.8033     
               18.7977            11.8033     
               18.7977            11.8033     
               18.7977            11.8033     
               18.7977            11.8032     
               18.7977            11.8032     
               18.7977            11.8032     
               18.7977            11.8032     
               18.7977            11.8032     
               18.7977            11.8032     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.8031     
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      
               18.7977            11.803      




